imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1438486,Chal Chala Chal,2009,06-Feb-09,Action | Comedy | Crime,Anand Raj Anand (lyrics) | Sunil Jha (lyrics) | Manisha Korde (dialogue) | Vaibhav Modi (lyrics),Rajeev Kumar,0,1,Asrani , Asif Basra , Govinda , Manoj Joshi
tt1442570,Fast Forward,2009,25-Sep-09,Action | Drama | Musical,Romeo D'Costa (story) | Rahil Qazi (screenplay) | Pawan Sony (dialogue) | Pawan Sony (screenplay) | Zaigham Ali Syed (story),Zaigham Ali Syed,0,1,Vinod Khanna , Akshay Kapoor , Rehan Khan , Bhavna Pani
tt1442583,Tum Milo Toh Sahi,2010,02-Apr-10,Comedy | Drama,Irshad Kamil (lyrics) | Rajen Makhijani (dialogue) | Rajen Makhijani (screenplay) | Rajen Makhijani (story) | Kabir Sadanand (story) | Sameer Siddiqui (dialogue) | Sameer Siddiqui (screenplay),Kabir Sadanand,0,1,Nana Patekar , Dimple Kapadia , Sunil Shetty , Vidya Malvade
tt1446055,Don Muthu Swami,2008,23-May-08,Comedy | Drama,Saleem Agha (screenplay) | Rahat Indori (lyrics) | Amitabh Verma (lyrics),Ashim S. Samanta,0,1,Mithun Chakraborty , Ali Asghar , Arun Bakshi , Rakesh Bedi
tt1447508,Peepli (Live),2010,13-Aug-10,Comedy | Drama,Bhadwai (lyrics) | Swanand Kirkire (lyrics) | Noon Meem Rashet (lyrics) | Anusha Rizvi (screenplay) | Gangaram Sakhet (lyrics) | Sanjeev Sharma (lyrics),Anusha Rizvi | Mahmood Farooqui,0,6,Omkar Das Manikpuri , Raghuvir Yadav , Shalini Vatsa , Farrukh Jaffar
tt1451797,Rann,2010,29-Jan-10,Drama | Mystery,Rohit G. Banawlikar (story) | Sarim Momin (lyrics) | Prashant Pandey (lyrics) | Sandip Singh (lyrics) | Vayu (lyrics),Ram Gopal Varma,0,1,Amitabh Bachchan , Ritesh Deshmukh , Gul Panag , Paresh Rawal
tt1454461,Ek: The Power of One,2009,27-Mar-09,Action | Drama | Thriller,Shabbir Ahmed (lyrics) | Sameer Arora (additional screenplay & dialogue) | Vivek Buddhakoti (additional screenplay & dialogue) | Mayur Puri (lyrics) | Pankaj Trivedi (story),Sangeeth Sivan,0,1,Rana Jung Bahadur , Jaspal Bhatti , Preeti Bhutani , Bobby Deol
tt1454567,Team: The Force,2009,05-Jun-09,Action | Comedy | Crime,N/A,Ajay Chandhok,0,1,Sohail Khan , Amrita Arora , Yash Tonk , Vrajesh Hirjee
tt1455811,Khatta Meetha,2010,23-Jul-10,Comedy | Crime | Drama,Jay Master (dialogues) | Priyadarshan (screenplay) | Priyadarshan (story) | Nitin Raikwar (lyrics) | Shehzad Roy (lyrics),Priyadarshan,0,3,Akshay Kumar , Rajpal Yadav , Aruna Irani , Kulbhushan Kharbanda
tt1455816,Prince,2010,09-Apr-10,Action | Crime | Drama,Shiraz Ahmed (story) | Mayur Puri (dialogue) | Sameer (lyrics),Kookie V. Gulati,0,2,Vivek Oberoi , Isaiah , Aruna Shields , Nandana Sen
tt1456946,Anubhav: An Actor's Tale,2009,05-Jun-09,Drama | Romance,Anoop Menon (screenplay),Rajeev Nath,0,1,Jackie Shroff , Sanjay Suri , Gul Panag , Shruti Seth
tt1465488,Happy Husbands,2011,25-Mar-11,Comedy | Drama,Jaiveer (screenplay) | Jaiveer (story) | Sarim Momin (lyrics),Jaiveer,0,1,Anay , Kurush Deboo , Mohit Ghai , Ahwaan
tt1465493,Hum Tum Aur Ghost,2010,26-Mar-10,Comedy | Drama | Fantasy,Arshad Sayed (screenplay) | Soumik Sen (screenplay) | Arshad Warsi (screenplay) | Arshad Warsi (story),Kabeer Kaushik,0,1,Arshad Warsi , Dia Mirza , Boman Irani , Sandhya Mridul
tt1471247,Road to Sangam,2010,29-Jan-10,Drama | Thriller,Amit Rai,Amit Rai,0,1,Paresh Rawal , Om Puri , Pavan Malhotra , Javed Sheikh
tt1474271,Love Khichdi,2009,28-Aug-09,Comedy | Drama | Romance,Srinivas Bhashyam (story) | Manu Joseph (story) | Pankaj Kapoor (additional dialogue) | Sandeep Srivastava (dialogue),Srinivas Bhashyam,0,1,Randeep Hooda , Rituparna Sengupta , Sada , Divya Dutta
